rodada,data,hora,local,casa,fora,gols_casa,gols_fora
1,13/05/2017,16:00,Maracanã - Rio de Janeiro - RJ,FLA,ATL,1,1
1,13/05/2017,19:00,Arena Corinthians - Sao Paulo - SP,COR,CHA,1,1
1,14/05/2017,11:00,Maracanã - Rio de Janeiro - RJ,FLU,SAN,3,2
1,14/05/2017,16:00,Allianz Parque - Sao Paulo - SP,PAL,VAS,4,0
1,14/05/2017,16:00,Mineirão - Belo Horizonte - MG,CRU,SAO,1,0
1,14/05/2017,16:00,Arena Fonte Nova - Salvador - BA,BAH,ATL,6,2
1,14/05/2017,16:00,Moisés Lucarelli - Campinas - SP,PON,SPO,4,0
1,14/05/2017,16:00,Ressacada - Florianopolis - SC,AVA,VIT,0,0
1,14/05/2017,19:00,Arena do Grêmio - Porto Alegre - RS,GRE,BOT,2,0
1,15/05/2017,20:00,Couto Pereira - Curitiba - PR,COR,ATL,4,1
2,20/05/2017,16:00,Vila Belmiro - Santos - SP,SAN,COR,1,0
2,20/05/2017,19:00,Serra Dourada - Goiania - GO,ATL,FLA,0,3
2,20/05/2017,19:00,Arena Condá - Chapeco - SC,CHA,PAL,1,0
2,21/05/2017,11:00,São Januário - Rio de Janeiro - RJ,VAS,BAH,2,1
2,21/05/2017,16:00,Independência - Belo Horizonte - MG,ATL,FLU,1,2
2,21/05/2017,16:00,Arena da Baixada - Curitiba - PR,ATL,GRE,0,2
2,21/05/2017,16:00,Arena Fonte Nova - Salvador - BA,VIT,COR,0,1
2,21/05/2017,18:00,Nilton Santos - Rio de Janeiro - RJ,BOT,PON,2,0
2,21/05/2017,19:00,Ilha do Retiro - Recife - PE,SPO,CRU,1,1
2,22/05/2017,20:00,Morumbi - Sao Paulo - SP,SAO,AVA,2,0
3,27/05/2017,16:00,São Januário - Rio de Janeiro - RJ,VAS,FLU,3,2
3,27/05/2017,19:00,Morumbi - Sao Paulo - SP,SAO,PAL,2,0
3,27/05/2017,21:00,Arena Fonte Nova - Salvador - BA,VIT,COR,0,1
3,28/05/2017,11:00,Independência - Belo Horizonte - MG,ATL,PON,2,2
3,28/05/2017,16:00,Arena da Baixada - Curitiba - PR,ATL,FLA,1,1
3,28/05/2017,16:00,Vila Belmiro - Santos - SP,SAN,CRU,0,1
3,28/05/2017,16:00,Serra Dourada - Goiania - GO,ATL,COR,0,1
3,28/05/2017,18:00,Ilha do Retiro - Recife - PE,SPO,GRE,4,3
3,28/05/2017,19:00,Nilton Santos - Rio de Janeiro - RJ,BOT,BAH,1,0
3,29/05/2017,20:00,Arena Condá - Chapeco - SC,CHA,AVA,2,0
4,03/06/2017,16:00,Couto Pereira - Curitiba - PR,COR,ATL,1,0
4,03/06/2017,18:00,Maracanã - Rio de Janeiro - RJ,FLU,VIT,2,1
4,03/06/2017,19:00,Arena Corinthians - Sao Paulo - SP,COR,SAN,2,0
4,04/06/2017,11:00,Raulino de Oliveira - Volta Redonda - RJ,FLA,BOT,0,0
4,04/06/2017,11:00,Ressacada - Florianopolis - SC,AVA,SPO,1,0
4,04/06/2017,16:00,Moisés Lucarelli - Campinas - SP,PON,SAO,1,0
4,04/06/2017,16:00,Arena do Grêmio - Porto Alegre - RS,GRE,VAS,2,0
4,04/06/2017,16:00,Allianz Parque - Sao Paulo - SP,PAL,ATL,0,0
4,04/06/2017,19:00,Mineirão - Belo Horizonte - MG,CRU,CHA,0,2
4,05/06/2017,20:00,Arena Fonte Nova - Salvador - BA,BAH,ATL,3,0
5,06/06/2017,20:00,Maracanã - Rio de Janeiro - RJ,FLU,ATL,1,1
5,07/06/2017,19:30,Independência - Belo Horizonte - MG,ATL,AVA,1,0
5,07/06/2017,19:30,Couto Pereira - Curitiba - PR,COR,PAL,1,0
5,07/06/2017,21:00,Pacaembu - Sao Paulo - SP,SAN,BOT,1,0
5,07/06/2017,21:45,Ilha do Retiro - Recife - PE,SPO,FLA,2,0
5,07/06/2017,21:45,São Januário - Rio de Janeiro - RJ,VAS,COR,2,5
5,08/06/2017,19:30,Olímpico Pedro Ludovico - Goiania - GO,ATL,PON,3,0
